
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
-1.14469 -0.544314 2.5 
-1.13594 -0.533947 2.5 
-1.13528 -0.533005 2.5 
-1.13288 -0.523579 2.5 
-1.12492 -0.514575 2.5 
-1.12372 -0.513211 2.5 
-1.11456 -0.502843 2.5 
-1.11189 -0.492475 2.5 
-1.10418 -0.483752 2.5 
-1.10274 -0.482107 2.5 
-1.09381 -0.472004 2.5 
-1.09358 -0.471739 2.5 
-1.08608 -0.461371 2.5 
-1.08344 -0.457552 2.5 
-1.08175 -0.451003 2.5 
-1.07308 -0.441175 2.5 

