
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
-0.259709 0.689465 2 
-0.261182 0.679097 2 
-0.262638 0.668729 2 
-0.264077 0.658361 2 
-0.264381 0.656157 2 
-0.265593 0.647993 2 
-0.267116 0.637625 2 
-0.268622 0.627258 2 
-0.270111 0.61689 2 
-0.271584 0.606522 2 

