
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_Rc%2.2f.dat', Rc) u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
-0.0269542 0.710201 2.5 
-0.0327139 0.699833 2.5 
-0.0362876 0.693277 2.5 
-0.0384318 0.689465 2.5 
-0.0441672 0.679097 2.5 
-0.0466555 0.674522 2.5 
-0.0499042 0.668729 2.5 
-0.0556168 0.658361 2.5 
-0.0570234 0.65577 2.5 
-0.0613719 0.647993 2.5 
-0.0670628 0.637625 2.5 
-0.0673913 0.637019 2.5 
-0.0728352 0.627258 2.5 
-0.0777592 0.618263 2.5 
-0.0785327 0.61689 2.5 
-0.0842944 0.606522 2.5 
-0.0881271 0.599506 2.5 
-0.0900098 0.596154 2.5 
-0.0957498 0.585786 2.5 
-0.098495 0.580751 2.5 
-0.101482 0.575418 2.5 
-0.107202 0.56505 2.5 
-0.108863 0.561997 2.5 
-0.112951 0.554682 2.5 
-0.11865 0.544314 2.5 
-0.119231 0.543246 2.5 
-0.124415 0.533947 2.5 
-0.129599 0.524492 2.5 

# Contour 5, label: 
0.824247 1.1069 2.5 
0.81388 1.11218 2.5 
0.809249 1.11455 2.5 
0.803512 1.11747 2.5 
0.793144 1.12275 2.5 
0.788915 1.12492 2.5 
0.782776 1.12805 2.5 
0.772408 1.13333 2.5 
0.76858 1.13528 2.5 
0.76204 1.13862 2.5 
0.751672 1.1439 2.5 
0.748245 1.14565 2.5 
0.741304 1.1492 2.5 
0.730936 1.15447 2.5 
0.727908 1.15602 2.5 
0.720569 1.15977 2.5 
0.710201 1.16504 2.5 
0.707572 1.16639 2.5 
0.699833 1.17034 2.5 
0.689465 1.17561 2.5 
0.687234 1.17676 2.5 
0.679097 1.18092 2.5 
0.668729 1.18618 2.5 
0.666895 1.18712 2.5 
0.658361 1.19149 2.5 
0.647993 1.19675 2.5 
0.646555 1.19749 2.5 
0.637625 1.20207 2.5 
0.627258 1.20732 2.5 
0.626214 1.20786 2.5 
0.61689 1.21264 2.5 
0.606522 1.21789 2.5 
0.605871 1.21823 2.5 
0.596154 1.22322 2.5 
0.585786 1.22846 2.5 
0.585527 1.2286 2.5 
0.575418 1.23379 2.5 
0.565189 1.23896 2.5 
0.56505 1.23903 2.5 
0.554682 1.24436 2.5 
0.544866 1.24933 2.5 
0.544314 1.24961 2.5 
0.533947 1.25494 2.5 
0.524544 1.2597 2.5 
0.523579 1.26019 2.5 
0.513211 1.26551 2.5 
0.504221 1.27007 2.5 
0.502843 1.27076 2.5 
0.492475 1.27609 2.5 
0.483898 1.28043 2.5 
0.482107 1.28134 2.5 
0.471739 1.28666 2.5 
0.463576 1.2908 2.5 
0.461371 1.29192 2.5 
0.451003 1.29724 2.5 
0.443253 1.30117 2.5 
0.440635 1.30249 2.5 
0.430268 1.30781 2.5 
0.42293 1.31154 2.5 
0.4199 1.31307 2.5 
0.409532 1.31838 2.5 
0.402607 1.32191 2.5 
0.399164 1.32365 2.5 
0.388796 1.32896 2.5 
0.382285 1.33227 2.5 
0.378428 1.33423 2.5 
0.36806 1.33953 2.5 
0.361962 1.34264 2.5 
0.357692 1.34481 2.5 
0.347324 1.35011 2.5 
0.34164 1.35301 2.5 
0.336957 1.35539 2.5 
0.335203 1.35301 2.5 
0.326589 1.34919 2.5 
0.322825 1.34264 2.5 
0.317343 1.33227 2.5 
0.316221 1.33091 2.5 
0.31093 1.32191 2.5 
0.305853 1.31217 2.5 
0.30546 1.31154 2.5 
0.299516 1.30117 2.5 
0.295485 1.2934 2.5 
0.293917 1.2908 2.5 
0.288111 1.28043 2.5 
0.285117 1.27464 2.5 
0.282412 1.27007 2.5 
0.27671 1.2597 2.5 
0.274749 1.25589 2.5 
0.270933 1.24933 2.5 
0.265313 1.23896 2.5 
0.264381 1.23715 2.5 
0.259472 1.2286 2.5 
0.254013 1.21841 2.5 
0.253906 1.21823 2.5 
0.248025 1.20786 2.5 
0.243645 1.19964 2.5 
0.242387 1.19749 2.5 
0.236589 1.18712 2.5 
0.233278 1.18088 2.5 

# Contour 6, label: 
1.49816 0.763274 2.5 
1.48779 0.768569 2.5 
1.48026 0.772408 2.5 
1.47742 0.773848 2.5 
1.46706 0.779142 2.5 
1.45992 0.782776 2.5 
1.45669 0.784422 2.5 
1.44632 0.789714 2.5 
1.43959 0.793144 2.5 
1.43595 0.794995 2.5 
1.42559 0.800286 2.5 
1.41926 0.803512 2.5 
1.41522 0.805569 2.5 
1.40485 0.810858 2.5 
1.39892 0.81388 2.5 
1.39448 0.816142 2.5 
1.38411 0.82143 2.5 
1.37859 0.824247 2.5 
1.37375 0.826716 2.5 
1.36338 0.832003 2.5 
1.35826 0.834615 2.5 
1.35301 0.837289 2.5 
