
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d_max-rE.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
-0.690281 1.10418 2 
-0.695472 1.09381 2 
-0.699833 1.08482 2 
-0.700531 1.08344 2 
-0.705726 1.07308 2 
-0.710201 1.06386 2 
-0.710781 1.06271 2 
-0.715979 1.05234 2 
-0.720569 1.04289 2 
-0.721032 1.04197 2 
-0.726232 1.03161 2 
-0.730936 1.02192 2 
-0.731282 1.02124 2 
-0.736485 1.01087 2 
-0.741304 1.00095 2 
-0.741532 1.0005 2 
-0.746739 0.990134 2 
-0.751672 0.979984 2 
-0.751783 0.979766 2 
-0.756992 0.969398 2 
-0.762034 0.95903 2 
-0.767245 0.948662 2 
-0.772291 0.938294 2 
-0.772408 0.938053 2 
-0.777498 0.927926 2 
-0.782549 0.917559 2 
-0.782776 0.917089 2 
-0.787751 0.907191 2 
-0.792806 0.896823 2 
-0.793144 0.896125 2 
-0.798003 0.886455 2 
-0.803064 0.876087 2 
-0.803512 0.875161 2 
-0.808256 0.865719 2 
-0.813321 0.855351 2 
-0.81388 0.854197 2 
-0.818509 0.844983 2 
-0.823578 0.834615 2 
-0.824247 0.833232 2 
-0.828762 0.824247 2 
-0.833835 0.81388 2 
-0.834615 0.812268 2 

