
# Surface 0 of 1 surfaces

# Curve title: "'mu.dat' u 1:2:3 binary matrix"

# Contour 0, label:       27
-0.743514 0.0250836 $27$ 
-0.742474 0.0150502 $27$ 
-0.741434 0.00501672 $27$ 
-0.740394 -0.00501672 $27$ 
-0.739354 -0.0150502 $27$ 
-0.738315 -0.0250836 $27$ 
-0.737458 -0.0333514 $27$ 
-0.737275 -0.0351171 $27$ 
-0.736235 -0.0451505 $27$ 
-0.735195 -0.0551839 $27$ 
-0.734155 -0.0652174 $27$ 
-0.733116 -0.0752508 $27$ 
-0.732076 -0.0852843 $27$ 
-0.731036 -0.0953177 $27$ 
-0.729996 -0.105351 $27$ 
-0.728956 -0.115385 $27$ 
-0.727916 -0.125418 $27$ 
-0.727425 -0.130171 $27$ 
-0.726877 -0.135452 $27$ 
-0.725837 -0.145485 $27$ 
-0.724797 -0.155518 $27$ 
-0.723757 -0.165552 $27$ 
-0.722718 -0.175585 $27$ 
-0.721678 -0.185619 $27$ 
-0.720638 -0.195652 $27$ 
-0.719598 -0.205686 $27$ 
-0.718558 -0.215719 $27$ 
-0.717518 -0.225753 $27$ 
-0.717391 -0.226981 $27$ 
-0.716479 -0.235786 $27$ 
-0.715439 -0.245819 $27$ 
-0.714399 -0.255853 $27$ 
-0.713359 -0.265886 $27$ 
-0.71232 -0.27592 $27$ 
-0.71128 -0.285953 $27$ 

# Contour 8, label: 
-0.896366 1.5 $27$ 
-0.895326 1.48997 $27$ 
-0.894287 1.47993 $27$ 
-0.893247 1.4699 $27$ 
-0.892207 1.45987 $27$ 
-0.891167 1.44983 $27$ 
-0.890127 1.4398 $27$ 
-0.889087 1.42977 $27$ 
-0.888047 1.41973 $27$ 
-0.88796 1.41888 $27$ 
-0.887008 1.4097 $27$ 
-0.885968 1.39967 $27$ 
-0.884928 1.38963 $27$ 
-0.883889 1.3796 $27$ 
-0.882849 1.36957 $27$ 
-0.881809 1.35953 $27$ 
-0.880769 1.3495 $27$ 
-0.879729 1.33946 $27$ 
-0.878689 1.32943 $27$ 
-0.877926 1.32206 $27$ 
-0.877649 1.3194 $27$ 
-0.87661 1.30936 $27$ 
-0.87557 1.29933 $27$ 
-0.87453 1.2893 $27$ 
-0.873491 1.27926 $27$ 
-0.872451 1.26923 $27$ 
-0.871411 1.2592 $27$ 
-0.870371 1.24916 $27$ 
-0.869331 1.23913 $27$ 
-0.868291 1.2291 $27$ 
-0.867893 1.22524 $27$ 
-0.867251 1.21906 $27$ 
-0.866211 1.20903 $27$ 
-0.865172 1.199 $27$ 
-0.864132 1.18896 $27$ 
-0.863092 1.17893 $27$ 
-0.862053 1.1689 $27$ 
-0.861013 1.15886 $27$ 
-0.859973 1.14883 $27$ 
-0.858933 1.1388 $27$ 
-0.857893 1.12876 $27$ 
-0.85786 1.12844 $27$ 
-0.856853 1.11873 $27$ 
-0.855813 1.1087 $27$ 
-0.854774 1.09866 $27$ 
-0.853734 1.08863 $27$ 
-0.852694 1.0786 $27$ 
-0.851654 1.06856 $27$ 
-0.850614 1.05853 $27$ 
-0.849575 1.04849 $27$ 
-0.848534 1.03846 $27$ 
-0.847826 1.03161 $27$ 
-0.847495 1.02843 $27$ 
-0.846455 1.01839 $27$ 
-0.845415 1.00836 $27$ 
-0.844376 0.998328 $27$ 
-0.843336 0.988294 $27$ 
-0.842296 0.978261 $27$ 
-0.841256 0.968227 $27$ 
-0.840216 0.958194 $27$ 
-0.839176 0.948161 $27$ 
-0.838136 0.938127 $27$ 
-0.837793 0.934798 $27$ 
-0.837097 0.928094 $27$ 
-0.836057 0.91806 $27$ 
-0.835017 0.908027 $27$ 
-0.833978 0.897993 $27$ 
-0.832938 0.88796 $27$ 
-0.831898 0.877926 $27$ 
-0.830858 0.867893 $27$ 
-0.829818 0.85786 $27$ 
-0.828778 0.847826 $27$ 
-0.827759 0.837995 $27$ 
-0.827738 0.837793 $27$ 
-0.826699 0.827759 $27$ 
-0.825659 0.817726 $27$ 
-0.824619 0.807692 $27$ 
-0.823579 0.797659 $27$ 
-0.82254 0.787625 $27$ 
-0.8215 0.777592 $27$ 
-0.82046 0.767559 $27$ 
-0.81942 0.757525 $27$ 
-0.81838 0.747492 $27$ 
-0.817726 0.741167 $27$ 
-0.81734 0.737458 $27$ 
-0.8163 0.727425 $27$ 
-0.815261 0.717391 $27$ 
-0.814221 0.707358 $27$ 
-0.813181 0.697324 $27$ 
-0.812141 0.687291 $27$ 
-0.811102 0.677258 $27$ 
-0.810062 0.667224 $27$ 
-0.809022 0.657191 $27$ 
-0.807982 0.647157 $27$ 
-0.807692 0.644354 $27$ 
-0.806942 0.637124 $27$ 
-0.805902 0.62709 $27$ 
-0.804863 0.617057 $27$ 
-0.803823 0.607023 $27$ 

